,text,sentiment
10,"""nie otrzymałam towaru obsługa klienta zupełnie niezorientowana. """,negative
11,"""Żałosny i prymitywny sposob prowadzenia konsultacji. Calkowity brak wyrozumiałości, chęci do pomocy i ordynarne, wyrobione frazy.  Obslugujaca pani Klaudia nie wykazała sie zadna inicjatywa w spelnieniu prosby o przeslanie dokumentu zakupu ponownie, zaslaniajac sie powtarzalnymi formulkami. Przestrzegam przed zakupami w tym miejscu, obaluga jest fatalna! Mam nadzieje, ze kogos z szefostwa w koncu zacznie interesowac fakt, iz codziennie wplywaja negatywne komentarze. Ja juz nie kupie nic. """,negative
12,"""dziadowska firma umawiaja czas dostawy pomiedzy poniedzialkiem a wtorkiem a we wtorrk wysyłaja wzialem urlop by odebrac przesylke  a we wtorek wysylaja sms ze dostawa zaplanowana na środe nie polecam """,negative
13,"""Negatywa daję za skandaliczne zapakowanie drogiego sprzętu. Sprzedawca wykazał się lekceważącym stosunkiem do własności klienta. Telefon nie był zabezpieczony folią bąbelkową ani w żaden inny sposób. Pudełko telefonu swobodnie ""latało"" w paczce. Paczka była uszkodzona, powgniatana. Wolę nie myśleć co się działo z telefonem podczas transportu. Prosiłem w komentarzu do zamówienia o ""solidne zapakowanie przedmiotu"". Moja prośba została zignorowana. To był mój pierwszy i ostatni zakup na OleOle.""",negative
14,"""Po 8 dniach okazało się że towaru nie ma w magazynie.... dramat... i jeszcze jako powód odstąpienia napisano ""rezygnacja klienta. Nie polecam!""",negative
15,"""Zamówienie złożone 8.11, planowana wysyłka 16.11, co samo w sobie już jest niezgodne z opisem aukcji. Konsultant najpierw twierdzi, że nie ma wcześniejszych terminów dostawy i nagle po usłyszeniu słowa rezygnacja termin się znajduje. """,negative
16,"""Tv kupiony z opcją przesyłki kurierskiej. Po czym zjawia się Pan kurier z Ole!Ole! i karze zejść po zamówioną przesyłkę. To jakieś kpiny! """,negative
17,"""Sposób pakowania produktu bardzo niedbały. Dzbanek w oryginalnym pudełku, ale przesyłka bez żadnej folii bąbelkowej, czy też poduszek powietrznych.  Całe szczęście dzbanek nie uszkodził się w transporcie.""",negative
18,"""Paczka byla zapakowana w taki sposob, ze przedmiot znajdujacy sie w srodku byl polamany. Poduszki z powietrzem byly, ale OBOK tego co mialy zabezpieczac. Gratuluje inteligencji osobie, ktora paczke przygotowala. Takie szanowanie przesylek to popis dbalosco o klienta. Żałosne. """,negative
19,"""Brak  informacji o tym że towar gabarytowo jest za duży i sklep \Żabka nie przyjmnie towaru, a w opcjach  sprzedawcy jest zaznaczony ten punkt.Wystarczyło by napisać do mnie czy przedzwonić  i towar przekierować na kuriera,a nie zwrócić pieniądze, bez żadnej informacji .  Po rozmowie z konsultantem przekazano mi informacje  ,że przesyła będzie wysłana 09.11.20 . Jestem zawiedziona bo miał to być prezent urodzinowy dla mojej córki.Tak się  nie traktuje osób kupujących     """,negative
20,"""Pierwszy raz zostałem totalnie olany przez OleOle. Fajny sklep bo nieźle schodzą z cen ale szkoda, że schodzą też z jakością obsługi. Godzinę po zamówieniu chciałem zmienić adres dostawy i dostałem informację że zostanie zmieniony, na następny dzień potwierdzili że adres zostanie zmieniony na pewno, a kolejnego dnia pewna pani powiedziała mi że już ma przygotowane dokumenty na stary adres i czekają na kuriera, adresu nie chciało im się chyba zmienić. No i wysłali na stary adres. Tragedia!!! """,negative
21,"""Brak instrukcji obsługi testera w jezyku polskim. Konieczne poszukiwania w sieci. Raczej nie polecam dla laików. W informacji sprzedawca stwiedził, że producent z Chin nie załączył. """,negative
22,"""Kompletna tragedia jeżeli chodzi o zrealizowanie zamówienia. Opłaciłem kuriera 48h deska przyszła mi po tygodniu. Nie odpowiadają na maila a dodzwonić się też tragedia. Nie polecam kompletnie """,negative
23,"""Produkt ok, ale sposób wysyłki tragedia. Produkt owinięty kartonem, bez żadnej folii bąbelkowej, czy też poduszek powietrznych. To cud, że dotarło w całości - kurier samemu zaproponował sprawdzenie przy nim, bo się bał, czy doszło w całości!""",negative
24,"""1. aukcja wprowadzająca w błąd 2. przerzucanie się mailami w sprawie zwrotu pieniędzy i wydłużony czas na zwrot """,negative
25,"""Trudno znalesc odpowiedni filter do tego dzbanka. Jest nietypowy.""",negative
26,"""Niestety koc przestał grzać po tygodniu . """,negative
27,"""nie polecam""",negative
28,"""nie polecam, zakup na raty.Dostawa wyznaczona przez sklep na 2.11.20-potwierdzona telef.Na godzinę przed- info-dział logistyki""się nie wyrobił""dostawa będzie nastepnego dnia-miałam dostać info-nie było.Zadzwoniłam-usłyszałm, że-dostawy nie było.Ktoś się miał ze mną skontaktowac.W środę, po dyskusji allegro, otrzymałam info-że dostawa planowana jest na piątek, tj.6.11.20 (czyli nie 2-3 dni robocze, tylko więcej). wyjeżdzam i nalegałam na dostawę w 5.11,kolejny mail- ze w piątek. Mają to gdzies...""",negative
29,"""po miesiącu od zakupu dostałem zwrot kasy, brak kontaktu i kłamliwe sugestie zamiast konkretów. zdecydowanie nie polecam""",negative
30,"""Głośny. Ciężki kontakt ze sprzedającym.                   """,negative
31,"""Sklep kompletnie niezainteresowany realizacją zamówienia.""",negative
32,"""Wystawiają towar którego nie maja na magazynie, Zero informacji. Dopiero po interwencji poprzez Allegro łaskawie poinformowali, że brak na magazynie.""",negative
33,"""Zamówione (12.10.20r.) trzy opakowania kapsułek posiadały datę ważności do końca miesiąca tj. 31.10.20r. """,negative
34,"""Najgorsza firma, w której kupiłam zmywarkę, przyjechała uszkodzona, od ponad dwóch tygodni zbywają mnie nie chcą oddać pieniędzy wysyłam wiadomości e-mail i dzwonię, to twierdzą że odezwie się dział rozliczeń, tak codziennie, oszukują klienta i lekceważą, nigdy już nie kupię tam niczego i odradzam innym """,negative
35,"""Nie mam zastrzeżeń do opisu czy jakości towaru, tutaj jest wszystko OK. Ale sprzedawca nie wykazuje chęci szacunku do przedmiotów, które po opłaceniu już nie są jego własnością. I wysyła głośniki w foliopaku, co powoduje uszkodzenie pudełka z towarem. Sprzęt jest sprawny, co jest raczej zasługą szczęścia a nie dbałości sprzedawcy o jakość pakowania.  Po zakupie absolutny brak odpowiedzi przez ponad 24h. Nie polecam. """,negative
36,"""NIE POLECAM SPRZEDAJĄCEGO!!!! Sprzedający mimo kilkukrotnej prośby nie wystawił f-ry Vat. Fakt, przy wypełnieniu formularzu dostawy nie dodałam że chcę f-rę, ale zrobiłam to meilowo parę minut po złożeniu zamówienia. więc taką informację Sprzedający otrzymał. Sprawdzałam w opisie sprzedającego i nie ma tam nic dodanego że o f-rę VAT można prosić tylko i wyłącznie w formularzu dostawy Dostawa także była o parą dni opóźniona! Co do suszarki jest ok. ale co mi po suszarce jak kosztów i tak nie mam """,negative
37,""":-(((""",negative
38,"""Towar zamówiłem, po 4 dniach od zamówienia anulowali zakup i zero wyjaśnienia. Bardzo mi zależało na czasie.""",negative
39,"""Nie posiadają kupionego komputera na magazynie.""",negative
40,"""Kurier zostawił paczkę w deszczu pod blokiem. Próbował wymusić dopłatę za dostarczenie pod drzwi mieszkania. Uważajcie na tą ""darmową dostawę"" to ściema! """,negative
41,"""Niestety po tygodniu bez kontaktu mój zakup został anulowany a pieniądze zwrócone.""",negative
42,"""Tragedia z wysyłką problemy terminy dostawy są przesunięte co najmiej 1-2 dni zero kontaktu a za 5 min dzwoni kurier jestem przed domem , pieniądze oddają ale ludzi robić mam czekać 5 dni w domu bo hrabia przyjedzie """,negative
43,"""Nie można przesunąć wyłącznika, blokuje się. Chcę zwrócić, ale nie podoba mi się procedura, u innych dostawców nie trzeba adresowa tylko kod i do paczkomatu.""",negative
44,"""Sposób zapakowania telefonu katastrofalny, dobrze że etui było twarde""",negative
45,"""Nie wystawiono faktury na podane dane firmowe. Trzykrotnie rozmawiałam z infolinią . Zaproponowano mi wycofanie jednego na os. fiz  i złożenie drugiego z danymi na firmę. Dziś otrzymałam podwójną przesyłkę! Odebrałam tę drugą, bo miała być na firmę. - nr 0000266988000u  Najpierw zapewniają, że nie będzie problemu z poprawą danych pracownik Marta Graca nr 10002643 infor. że  system błędnie, dwukrotnie  wygenerował dane. Bałagan w firmie, Kpina z klienta. Zamieszanie każdy umywa ręce.NIE POLECAM. """,negative
46,"""Słabe spasowanie elementów, trzeszczący plastik, zdecydowanie jakość zbyt niska jak na tę półkę cenową. OleOle = fatalna obsługa klienta, trzeba pisać po kilka razy żeby odpisali i za każdym razem opisywać problem od nowa.""",negative
47,"""Zastępcze wkłady nie pasują do dzbanka""",negative
48,"""towar został uszkodzony z winy sprzedającego, paczka była za słabo zabezpieczona i została wyłamana łopatka na waromierzu. """,negative
49,"""Bardzo mi przykro, ale zmuszony jestem wystawić komentarz negatywny. Przede wszystkim produkt nie odpowiada opisowi aukcji - mysz (chociaż funkcjonalna i wygodna) miała mieć wbudowany akumulator, a jest na zwykłą baterię. Wiadomość, którą wysłałem sprzedającemu, pozostała bez odpowiedzi. Michał Mackiewicz""",negative
50,"""Do radia to to nie jest. w ogóle inne wejście wejście do tv a nie do radia brak jakiej kolwiek przejściówki """,negative
51,"""Negatyw. Nie polecam. Wystawiają towar, którego nie mają na magazynie chociaż. Brak informacji od sprzedającego o tym fakcie, dopiero po interwencji u Allegro raczyli wysłać info ""...serdecznie przepraszamy za wydłużony czas oczekiwania oraz powstałe niedogodności. Uprzejmie informujemy, iż zamówienie nie zostało dotychczas zrealizowane z powodu wyczerpania zapasu magazynowego. Prosimy o podanie numeru rachunku bankowego, na który zlecimy zwrot środków...."" Strata czasu i tyle.""",negative
52,"""Zaraz po zakupie zrobiłam rezygnację mimo to towar został mi wysłany. """,negative
53,"""Nie otrzymałam zamówienia , pieniądze wróciły na moje konto ( płatność kartą) usiłowałam skontaktować się ze sprzedawcą .... szkoda mojego czasu na rozwiązywanie zagadki , Stanowczo nie polecam sprzedawcy :(""",negative
54,"""ogólnie nie polecam """,negative
55,"""Przez dwa dni ściemniali że allegro ma problem i nie przesyla zamówień. Potem że towar jest za duzy i nie wyślą do paczkomatu tylko kurierem i bedzie następnego dnia. Na koniec okazalo się ze towaru nie ma / na aukcji bylo w.momencie zakupu 32szt/ i handlowiec nie odpowiada kiedy bedzię. Zmuszony jestem anulować zakup i oczekuje na zwrot zapłaty.""",negative
56,"""Baterie w myszce do wymiany, ogólnie myszka super ale zakupcie sobie od razu baterie bo te z zestawu nadają się do śmieci""",negative
57,"""Niestety transakcję uważam za TOTALNĄ PORAŻKĘ!Zamówiłem ekipę do montażu zakupionej płyty.Ale otrzymałem maila od sprzedającego,że to oni zamontują płytę indukcyjną (m.in.mam zrobić dostęp do miejsca montażu).Ucieszony odwołałem ekipę bo po co płacić za coś co jest free od sprzedawcy.I co?PORAŻKA-panowie powiedzieli,że nie montują,że to standardowy mail. Efekt? - Płyta nadal nie jest zamontowana.Zamówiona ekipa już nie ma dla mnie czasu.SZCZERZE NIE POLECAM! ZASTANÓW SIĘ NIM COKOLWIEK TU KUPISZ!""",negative
58,"""Witam.15.10.2020r zgłosiłem reklamacje [towar niekompletny] .Do chwili obecnej nie otrzymałem brakującego elementu wyposażenia.Nie polecam OleOle  ta firma równie dobrze może się nazywać sprzedaj i OlejOlej- klienta.pozdrawiam""",negative
59,"""W dniu 17.09.2020 roku zakupiłam telewizor Samsung 32 LED UE32T4002AK HD. Otrzymałam przesyłkę z telewizorem nie sprawnym. Odesłałam przesyłkę w oryginalnym opakowaniu,  bez  zniszczeń i uszkodzeń zewnętrznych (dokumentacja zdjęciowa ). Do dnia dzisiejszego 31.10.20r nie otrzymałam zwrotu pieniędzy. Nie polecam  -  cwaniaków. Sprawę kieruję na policję i do sądu.""",negative
60,"""Opis aukcji: darmowa dostawa kurierem. W rzeczywostości to nieudolny transport pracowników EuroRTVagd, którzy nie donoszą paczki do drzwi tylko pod budynek- blok mieszkalny. SKANDAL""",negative
61,"""Wszystko wporzadku tylko nie można głośności ustawić na tel. """,negative
62,"""NEGATYW pomimo rezygnacji z zakupu i odstapieniu od umowy  towar wysłany  """,negative
63,"""Po kilku dniach i kilku wysłanych monitach dowiedzieliśmy się o braku towaru w magazynie. Wszystko byłoby ok, gdyby ta informacja dotarła w następnym dniu po dokonaniu zakupu/płatności, a nie po 4 dniach. Moglibyśmy zrobić zakupy u innych sprzedających, a tak teraz już też możliwości nie mamy. Nie polecam.""",negative
64,"""Słuchawki z mikrofonem. Mikrofon jest popsuty zacina jak się coś mówi.""",negative
65,"""Zaraz po zakupie odstąpiłem od umowy kupna a sprzedawca mimo to nie czytając wiadomości od kupującego wysłał towar.  Nie polecam sprzedającego """,negative
66,"""Filtr nie pasował fo brita marella xl dzbanek z 2020, podarowaliśmy go rodzicon do innego starszego typu dzbanka""",negative
67,"""Zdecydowanie odradzam. Zakupiłem deskę do prasowania i suszarkę do prania. Obydwa produkty przyszły uszkodzone. Wymieniono je na kolejne - także uszkodzone. Elektroniczny system reklamacyjny jest opieszały się plącze. Zakupu dokonałem ponad miesiąc temu, a na pieniądze wciąż czekam.""",negative
68,"""Szczotka nie pasuje. Niezgodność z opisem. Dodatkowo jeśli chce zwrócić, to muszę opłacić przesyłkę czyli pokryć koszt równy połowie tego produktu, na co mnie aktualnie nie stać """,negative
69,"""Zacznę od informacji iż nie dostarczono mi zamówionego sprzętu. Jednak to nie wszystko, dwukrotnie informowano mnie o zaplanowanej dostawie. Za pierwszym razem otrzymałem telefon z informacja o planowanych godzinach dostarczenia , po pewnym czasie okazało się że pomylono sprzęt i zamiast suszarki wysłano zmywarkę. Podobnie było za drugim razem z ta różnicą że wysłano inny model. Na koniec po mojej interwencji usłyszałem że nie dostarczą mi zamówionego sprzętu.    """,negative
70,"""niestety towar okazał się wadliwy, zwrócony,  po kilku dniach otrzymałam zwrot pieniędzy niestety tylko za towar za przesyłkę juz mi nie zwrócono pieniędzy mimo iż reklamacja i zwrot był  z winy sprzedawcy nie mojej. kontakt również niezadawalajacy, zbywający, jak pisałam maile to ciągle prosili o podanie nr zamówienia, które podawałam kilkukrotnie. NIE POLECAM""",negative
71,"""Dostawa laptopów zajęła im 8 dni. Łaskawie odpowiedzieli po interwencji Allegro.  Coś zmienili w swoim systemie wysyłki z dobrego na beznadziejny sposób w którym towar dostarczają pracownicy sklepów stacjonarnych.  Żenada po całości. Odradzam """,negative
72,"""Zakupiłam zgodnie z opisem NOWĄ zmywarkę a otrzymałam UŻYWANĄ !!! Po otwarciu zmywarki śmierdziało z niej zastaną wodą i wilgocią!! A po odkreceniu filtra jeszcze była w niej woda!!! NIE POLECAM!!! """,negative
73,"""Nie mogę napisać nic dobrego ani złego o produkcie którego nie otrzymałem. Rzecz jasna moge tylko opisac sprzedawce który oferuje cos czego nie wysyła. W swej ofercie obiecuje dostawy do 2 dni u odbiorcy a nawet jej jeszcze nie nadał. Szczerze odradzam zakupów u tego sprzedającego. LEPIEJ TU NIE ZAMAWIAC, CZYBA ZE CZAS OCZEKIWANIA NIE GRA ROLI. JA NASZCZESCIE STRACILEM GROSZE INNI MOGĄ STRACIĆ WIECEJ. NIE POLECAM""",negative
74,"""no wedlug mnie ktos już ją miał w ręku przedemną bo byla dosyć tłusta jak na nową...""",negative
75,"""Dość długa obsługa przy zwrocie niestety sprzedawca musi jeszcze dopracować swoją prędkość działania i skuteczność komunikacji. """,negative
76,"""Towar nie zgodny z zamówieniem """,negative
77,"""wystawione przedmioty, których sprzedający nie ma na stanie. Brak informacji jakiejkolwiek. Na szczęście pieniądze zwrócone dość szybko.""",negative
78,"""Towar otrzymałem po terminie niż wynika z opisu aukcji.Dodatkowo przyszedł uszkodzony,znowu kilka dni oczekiwania na wymiane. Brak kontaktu i zainteresowania ze strony firmy. Nie polecam!!!!""",negative
79,"""Nikomu nie polecam tej firmy. Wystawiony towar istnieje tylko wirtualnie. Zapowiedziany termin dostawy a jego realizacja to dwie odległe sprawy. Nie polecam.""",negative
80,"""Sprzedano towar Wirtualny. Dostawa miala byc w 24h a po tygodniu nie ma ani towaru ani zwrotu pieniędzy....""",negative
81,"""Nigdy więcej !!!""",negative
82,"""Po 4 dniach od wpłaty zero odzewu i informacji o wysyłce (w aukcji było 2-3 dni), po 3 telefonach na infolinię, zmarnowanych 2 godzinach  i interwencji allegro informacja o zwrocie środków z dyspozycją za kilka dni. Po kolejnych 4 dniach informacja, że wysyłają towar (jasno zaznaczyłem rezygnację i zdążyłem już kupić w innym sklepie bo to prezent dla żony i nie miałem tyle czasu). Kolejna walka z infolinią i ich prośba żebym przesyłki nie odbierał . Bajzel na kółkach. Zwrot pieniędzy otrzymałem""",negative
83,"""Niepoważna firma przetrzymująca reklamowany sprzęt oraz pieniądze. Nie polecam.""",negative
84,"""Niestety pomylilem sie w adresie. Ole!Ole! nie ma mozliwosci (jak twierdzi) wycofania zamowienia. Kompletny chaos bo nie moge odebrac ani odwolac przesylki (jestem poza miejscem zamieszkania ze wzgledu na Covid) a firma ma to ogolnie w d... i nikt nie kwapi sie aby pomoc. Zglosilem zwrotke i nic sie nie dzieje. """,negative
85,"""Niekompetentny Sprzedający, słaby kontakt mailowy, nie potrafi wystawić faktury pro-forma. Oczywiste kwestie stanowią problem. Zdecydowanie szkoda czasu i nie polecam!""",negative
86,"""Po zakupie dotarł do mnie filtr Dafi,o suszarkę musiałam prosić przez dłuższy czas,nie było także kontaktu ze sprzedającym.Kiepsko.""",negative
87,"""zwrocilam produkty 14 dni temu i w dalszym ciagu nie otrzymano zwrot platnosci.""",negative
88,"""Zakupiłam  smartwatch,  poprosiłam o fakturę, dostałam z produktem: zegarek Garmin itd. Zero negocjacji bedzie zegarek i już,  pomimo że w nazwie aukcji jest wyraźnie smartwatch i to chciałam na fakturze. Zaproponowałam żeby wpisali samą nazwę - nie -  tylko: zegarek Garmin itd. Zapytałam więc czy jak kupię na fakturę strój służbowy  np. spodnie,  to właściwie można wpisać leginsy - bo to też spodnie. Kompletna ignorancja - nie polecam""",negative
89,"""Sprzedawany produkt kompletnie niezgodny z opisem: ""Tryby pracy: czyszczenie, delikatny"" - w trybie delikatnym irygator świetnie sprawdza się w kaleczeniu jamy ustnej - natychmiastowe krwawienie i ból zapewnione. Ciśnienie ciężko wytrzymać na dłoni, nie mówiąc już o jamie ustnej. Sprzedający wprowadza klienta w błąd sprzedając tą kiczowatą chińszczyznę. W dodatku nie informuje w opisie aukcji, że sprzedawanego bubla nie zgodnego z opisem nie można zwrócić po jego odpakowaniu. Żenujące.""",negative
90,"""Telefon ""przez pomyłkę"" trafił do innego kuriera w związku z czym do mnie nie dotarł. W takim przypadku rezygnacją z zakupu przez moją osobę. Kontakt ze sprzedającym w mojej opinii przeciętny. Po zaangażowaniu w rozmowę Allegro sprawny zwrot pieniędzy. """,negative
91,"""Towar  otrzymałem i po około miesiąca  złożyłem reklamacje  bo  hulajnoga się  rozsypała . Czekam już miesiąc  zero informacji   z firmą  też nie ma kontaktu . TO  DZIADOWSKA  FIRMA  NIE POLECAM,  ZAKUPU  NICZEGO  . Skasować  pieniądze  i  do  widzenia  . Sam  handluje  na  Amazon i  takie rzeczy są  nie do pomyslenia  .Konto było już  zamknięte !!! Dziady """,negative
92,"""towar przyszedł uszkodzony. w odpowiedzi na maila z reklamacja otrzymałem informację że mogę skorzystać z gwarancji/rękojmi i sobie naprawić. naprawić to sobie mogę towar który mi chodził i się popsuł. odesłałem na podstawie art 27 ustawy o prawach konsumenta. nawet takiej opcji nie zaproponowali. na maile odpowiadały różne osoby, prosząc często o to samo. nr konta podawałem 3razy. pieniądze przelali dopiero po prawie miesiącu.  klientów z problemem mają tam gdzie słońce nie dochodzi!!""",negative
93,"""Towar szybko dotarł zgody z opisem. Ale nie zwracajcie towaru bo to istna walka o pieniądze po miesiącu i interwencji allegro dostałem zwrot. """,negative
94,"""Zamówienie złożone miała być wysyłka kurierem dpd brak jakiejkolwiek informacji o statusie czy wysyłce. Po kontakcie z infolinia dowiaduje się ze zamówiony produkt będzie dostarczony przez wewnętrznych dostawców. W dniu dostarczenia dowiaduje się ze muszę odebrać paczkę prosto z samochodu bo nie wykupiłem opcji wniesienie tylko ze na Allegro nie ma takiej opcji nawet nie jest o tym wspomniane dostawca bardzo mało uprzejmy i nie zabezpieczony bez maski bez przyłbicy tragedia.""",negative
95,"""TRAGEDIA TRAGEDIA  ZAKUPIŁEM PRODUKT 22 WRZEŚNIA ODSTĄPIŁEM OD UMOWY I 14 DNI NA ZWROT MINĘŁO 10 PAŹDZIERNIKA. DOPIERO WCZORAJ DOSTAŁEM INFORMACJE ZE PIENIĄDZE ZOSTAŁY MI ZWRÓCONE . ODRADZAM TEN SKLEP!!!!!!!""",negative
96,"""Bardzo długi czas oczekiwania na zwrot, prawie 20 dni po kilku mailach w końcu otrzymałam zwrot, nie polecam""",negative
97,"""Wybrana dostawa kurierem, okazuje się że przyjeżdża transportem Euro RTV gdzie panowie nie przyniosą nawet pod drzwi ponieważ nie ma opłaconego wniesienia tylko że nie zamawiałem transportu firmowego tylko kurierem i lecę przez pół osiedla z paczką 55 cali bo oczywiście nie było miejsca do parkowania dla ciężarówki z Euro RTV, no taki cyrk przy sobocie. Nierzetelna informacja o dostawie za to negatyw pełną parą !""",negative
98,"""2.10.2020 r kupiłam dwa blendery m-ki Tefal, jeden z nich był uszkodzony wewnątrz tak jakby luzem latał jakiś element, odesłałam na własny koszt do reklamacji, wrócił 22.10. tym razem posiadał zarysowanie. Od razu złożyłam reklamacje, do dziś  bez odzewu.""",negative
99,"""towar po rozpakowaniu okazał się uszkodzony prawdopodobnie w transporcie. Trochę długo czekałem na rozwiązanie sprawy reklamacji miał być zwrócony towar a zwrócili pieniądze po około 6 tygodni nie mam żalu :)""",negative
100,"""Po pierwszym zakupie kawy w kapsułkach wstrzymałem się od wystawienia negatywnej opinii,ale teraz muszę.Kawa po raz drugi była źle zapakowana.Kartony z kapsułkami pogniecione a z jednego kartonu wysypane były kapsułki.Może dojść do zgniecenia samych kapsułek i wysypania się kawy. """,negative
101,"""Aukcja polega na sprzedarzy DBANKA i FILTRÓW, niestety filtry NIE PASUJĄ do dzbanka. Według mojej opinii to rażąca niekompetencja lub nieuczciwość. Pasuje tylko 1 filtr ten w pudełku z dzbankiem, zamienniki są filtrami innego typu, mimo iż mają właściwy kształt to dzbanek ma zabezpieczenie które uniemożliwia korzystanie z nich. To po co robić z tego jedną aukcję???""",negative
102,"""Pracuje tam banda niekompetentnych ludzi !!!""",negative
103,"""Kompletne zamówienie dotarło po miesiacu i to dopiero po interwencji allegro.""",negative
104,"""Towar zwróciłem - kupiłem mniejszy model u tego samego sprzedawcy. Sprzedawca nie zwrócił pieniędzy w terminie (maks 14 dni po otrzymaniu zwrotu), musiałem się upomnieć otwierając dyskusję. Po innych komentarzach widzę, że to nie jest jednostkowa sytuacja, dlatego ogólnie ocena negatywna. """,negative
105,"""brak jakiegokolwiek wsparcia pozakupoweg""",negative
106,"""Sklep oferuje opcje wysyłki kurierem ale w rzeczywistości wysłał towar własnym transportem który odmówił dostarczenia towaru pod wskazany adres. Transport zaparkował z dala od mieszkania i zarządał abym sam sobie odebrał paczke z samochodu dostawczego, mimo ze zgodnie z zawarta umowa towar powinien być dostarczony pod wskazany adres. Co więcej, sklep i transport twierdził ze nie wykupiłem jakieś opcji wniesienia, co wogole nie jest oferowane w opcji zakupu przez allegro. Zdecydowanie nie polecam""",negative
107,"""Niestety, uszkodzony mikrofon słuchawki a to oznacza bezwartościowy towar. Ponieważ serwis Samsunga nie naprawia i nie wymienia na nową, sprawną słuchawkę, zostałem poinstruowany aby reklamować wadliwy sprzęt poprzez sprzedawcę OleOle. Ponieważ istniało duże prawdopodobieństwo, że następna słuchawka mogła być również wadliwa, co również potwierdził serwis, zdecydowałem o zwrocie. Zwrot przedmiotu do sprzedawcy kurierem DPD 06-10-2020. Zwrot środków na konto 21-10-2020. Nie polecam.  """,negative
108,"""Produkt dotarł uszkodzony. Po tygodniu kontaktowania się ze sprzedawcą nastąpiła wymiana na nowy - również uszkodzony. Nie polecam. Sprzedawca bardzo wolno odpisuje na wiadomości. Nie udziela odpowiedzi na konkretne pytania. Nie podaje daty kiedy co nastąpi. Zero konkretów. Cały proces wymiany produktu trwał tydzień i po tygodniu otrzymałem znowu uszkodzony produkt. Nie Polecam OLEOLEPL absolutnie nie zrobię tu już zakupów. Obsługa jest niepomocna, powolna i niesłowna. """,negative
109,"""NIE POLECAM!!!  Dzbanek dotarł roztrzaskany - ok zdarzają się pewnie takie sytuacje, ale  Sprzedawca odwleka wysyłkę towaru, później wymianę czy zwrot pieniędzy. Ucinany kontakt mailowy byle Klient się odczepił.  Nie spotkałam się jeszcze z takim podejściem do Kupującego. Omijajcie! Nie kupujcie, bo zostaniecie bez towaru i bez pieniędzy!!!  """,negative
110,"""Zamówiłam dostawa miała być w dwa dni niestety dwa dni zajęło im zanim ja zapakowali. Dostałam przesyłkę z opóźnieniem. Sprzedawca nieslowny! Nie polecam""",negative
111,"""Towar i wysyłka super ale doczekanie się zwrotu pieniędzy po zwrocie towaru graniczy z cudem. Bez sporu na allegro i ponaglania nigdy bym się nie doczekał.""",negative
